Array,Pool,Pool ID,Density,Day,Rafts,Date
9,3,9.3,0,5,19,9/29/2017
9,4,9.4,330,5,66,9/29/2017
10,1,10.1,0,1,21,9/25/2017
10,2,10.2,770,1,4,9/25/2017
10,3,10.3,550,1,5,9/25/2017
10,4,10.4,330,1,17,9/25/2017
10,1,10.1,0,2,3,9/26/2017
10,2,10.2,770,2,20,9/26/2017
10,3,10.3,550,2,4,9/26/2017
10,4,10.4,330,2,42,9/26/2017
10,1,10.1,0,3,25,9/27/2017
10,2,10.2,770,3,9,9/27/2017
10,3,10.3,550,3,9,9/27/2017
10,4,10.4,330,3,50,9/27/2017
10,1,10.1,0,4,15,9/28/2017
10,2,10.2,770,4,33,9/28/2017
10,3,10.3,550,4,7,9/28/2017
10,4,10.4,330,4,7,9/28/2017
10,1,10.1,0,5,1,9/29/2017
10,2,10.2,770,5,20,9/29/2017
10,3,10.3,550,5,7,9/29/2017
10,4,10.4,330,5,4,9/29/2017
